[17-Aug-2014 12:55:37 PM] Mod T used command:	[obj 13199 10 2]
[17-Aug-2014 12:55:41 PM] Mod T used command:	[tele 0,40,48,39,27]
[17-Aug-2014 12:55:42 PM] Mod T used command:	[obj 13199 10 2]
[17-Aug-2014 12:55:44 PM] Mod T used command:	[tele 0,40,48,38,27]
[17-Aug-2014 12:55:45 PM] Mod T used command:	[obj 13199 10 2]
[17-Aug-2014 12:56:46 PM] Mod T used command:	[obj 13199 10 2]
[17-Aug-2014 12:57:15 PM] Mod T used command:	[obj 13199 10 2]
[17-Aug-2014 12:57:17 PM] Mod T used command:	[pos]
[17-Aug-2014 12:57:31 PM] Mod T used command:	[xtele 2595 3099]
[17-Aug-2014 12:57:36 PM] Mod T used command:	[tele 0,40,48,34,27]
[17-Aug-2014 12:57:40 PM] Mod T used command:	[obj 13212 10 2]
[17-Aug-2014 12:57:41 PM] Mod T used command:	[tele 0,40,48,37,27]
[17-Aug-2014 12:57:43 PM] Mod T used command:	[obj 13212 10 2]
[17-Aug-2014 12:58:00 PM] Mod T used command:	[tele 0,40,48,35,25]
[17-Aug-2014 12:58:19 PM] Mod T used command:	[tele 0,40,48,36,24]
[17-Aug-2014 12:58:20 PM] Mod T used command:	[obj 13199 10 2]
[17-Aug-2014 12:58:21 PM] Mod T used command:	[obj 13199 10 23]
[17-Aug-2014 12:58:24 PM] Mod T used command:	[obj 13199 10 4]
[17-Aug-2014 12:58:26 PM] Mod T used command:	[tele 0,40,48,34,24]
[17-Aug-2014 12:58:27 PM] Mod T used command:	[obj 13199 10 4]
[17-Aug-2014 12:58:32 PM] Mod T used command:	[tele 0,40,48,34,24]
[17-Aug-2014 12:58:32 PM] Mod T used command:	[obj 13199 10 4]
[17-Aug-2014 12:58:36 PM] Mod T used command:	[obj 13199 10 4]
[17-Aug-2014 12:58:37 PM] Mod T used command:	[tele 0,40,48,33,24]
[17-Aug-2014 12:58:41 PM] Mod T used command:	[obj 13212 10 4]
[17-Aug-2014 12:58:44 PM] Mod T used command:	[tele 0,40,48,36,24]
[17-Aug-2014 12:58:45 PM] Mod T used command:	[obj 13212 10 4]
[17-Aug-2014 12:59:15 PM] Mod T used command:	[xtele 2595 3099]
[17-Aug-2014 12:59:24 PM] Mod T used command:	[tele 0,40,48,43,26]
[17-Aug-2014 12:59:29 PM] Mod T used command:	[tele 0,40,48,46,14]
[17-Aug-2014 12:59:37 PM] Mod T used command:	[tele 0,40,48,41,13]
[17-Aug-2014 12:59:38 PM] Mod T used command:	[obj 16599]
[17-Aug-2014 12:59:40 PM] Mod T used command:	[tele 0,40,48,41,12]
[17-Aug-2014 12:59:40 PM] Mod T used command:	[obj 16599]
[17-Aug-2014 12:59:42 PM] Mod T used command:	[tele 0,40,48,40,12]
[17-Aug-2014 12:59:43 PM] Mod T used command:	[obj 16599]
[17-Aug-2014 12:59:58 PM] Mod T used command:	[obj 16599]
[17-Aug-2014 1:00:02 PM] Mod T used command:	[obj 16599]
[17-Aug-2014 1:00:21 PM] Mod T used command:	[tele 0,40,48,47,25]
[17-Aug-2014 1:00:22 PM] Mod T used command:	[tele 0,40,48,48,25]
[17-Aug-2014 1:00:24 PM] Mod T used command:	[OBJ 42219 10 1]
[17-Aug-2014 1:00:25 PM] Mod T used command:	[tele 0,40,48,48,24]
[17-Aug-2014 1:00:26 PM] Mod T used command:	[OBJ 42219 10 1]
[17-Aug-2014 1:00:32 PM] Mod T used command:	[OBJ 42219 10 1]
[17-Aug-2014 1:00:36 PM] Mod T used command:	[tele 0,40,48,45,20]
[17-Aug-2014 1:01:40 PM] Mod T used command:	[XTELE 2595 3099]
[17-Aug-2014 1:01:46 PM] Mod T used command:	[tele 0,40,48,40,17]
[17-Aug-2014 1:01:48 PM] Mod T used command:	[tele 0,40,48,42,16]
[17-Aug-2014 1:02:06 PM] Mod T used command:	[rspns]
[17-Aug-2014 1:02:11 PM] Mod T used command:	[tele 0,40,48,40,15]
[17-Aug-2014 1:02:20 PM] Mod T used command:	[n 520 EAST]
[17-Aug-2014 1:02:20 PM] Mod T used command:	[tele 0,40,48,41,19]
[17-Aug-2014 1:02:22 PM] Mod T used command:	[tele 0,40,48,49,24]
[17-Aug-2014 1:02:34 PM] Mod T used command:	[N 12401 SOUTH]
[17-Aug-2014 1:02:40 PM] Mod T used command:	[tele 0,40,48,54,21]
[17-Aug-2014 1:02:55 PM] Mod T used command:	[obj 23292]
[17-Aug-2014 1:02:55 PM] Mod T used command:	[obj 23293]
[17-Aug-2014 1:03:04 PM] Mod T used command:	[obj 23923 0 2]
[17-Aug-2014 1:03:18 PM] Mod T used command:	[tele 0,40,48,54,23]
[17-Aug-2014 1:03:19 PM] Mod T used command:	[obj 23923 0 2]
[17-Aug-2014 1:03:24 PM] Mod T used command:	[tele 0,40,48,54,24]
[17-Aug-2014 1:03:25 PM] Mod T used command:	[obj 23923 0 2]
[17-Aug-2014 1:03:27 PM] Mod T used command:	[tele 0,40,48,54,25]
[17-Aug-2014 1:03:27 PM] Mod T used command:	[obj 23923 0 2]
[17-Aug-2014 1:03:52 PM] Mod T used command:	[tele 0,40,48,54,22]
[17-Aug-2014 1:03:53 PM] Mod T used command:	[obj 23923 0 2]
[17-Aug-2014 1:03:58 PM] Mod T used command:	[obj -1]
[17-Aug-2014 1:04:01 PM] Mod T used command:	[tele 0,40,48,54,20]
[17-Aug-2014 1:04:03 PM] Mod T used command:	[obj -1]
[17-Aug-2014 1:04:05 PM] Mod T used command:	[obj 23923 0 2]
[17-Aug-2014 1:04:05 PM] Mod T used command:	[tele 0,40,48,54,19]
